phv_id	PhenX_id	CDE_primary_name
phv00101483.v1.p1	PX111201010000	In general, would you say your overall health is
phv00056870.v2.p9	PX111201010000	In general, would you say your overall health is
phv00103524.v1.p1	PX111201010000	In general, would you say your overall health is
phv00006701.v1.p9	PX111201010000	In general, would you say your overall health is
phv00072544.v4.p9	PX111201010000	In general, would you say your overall health is
phv00007153.v1.p9	PX111201010000	In general, would you say your overall health is
phv00050271.v1.p1	PX111201010000	In general, would you say your overall health is
phv00192308.v1.p3	PX111201010000	In general, would you say your overall health is
phv00109343.v1.p1	PX111201010000	In general, would you say your overall health is
phv00105125.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103471.v1.p1	PX111201010000	In general, would you say your overall health is
phv00070599.v1.p9	PX111201010000	In general, would you say your overall health is
phv00079091.v4.p3	PX111201010000	In general, would you say your overall health is
phv00004571.v1.p9	PX111201010000	In general, would you say your overall health is
phv00108575.v1.p1	PX111201010000	In general, would you say your overall health is
phv00022731.v5.p9	PX111201010000	In general, would you say your overall health is
phv00085869.v2.p3	PX111201010000	In general, would you say your overall health is
phv00098808.v1.p1	PX111201010000	In general, would you say your overall health is
phv00214220.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103629.v1.p1	PX111201010000	In general, would you say your overall health is
phv00111629.v3.p3	PX111201010000	In general, would you say your overall health is
phv00128086.v1.p1	PX111201010000	In general, would you say your overall health is
phv00010537.v5.p9	PX111201010000	In general, would you say your overall health is
phv00103261.v1.p1	PX111201010000	In general, would you say your overall health is
phv00197596.v1.p1	PX111201010000	In general, would you say your overall health is
phv00028435.v1.p1	PX111201010000	In general, would you say your overall health is
phv00004134.v1.p9	PX111201010000	In general, would you say your overall health is
phv00202876.v1.p1	PX111201010000	In general, would you say your overall health is
phv00009594.v5.p9	PX111201010000	In general, would you say your overall health is
phv00159602.v3.p2	PX111201010000	In general, would you say your overall health is
phv00009136.v5.p9	PX111201010000	In general, would you say your overall health is
phv00103576.v1.p1	PX111201010000	In general, would you say your overall health is
phv00169481.v1.p3	PX111201010000	In general, would you say your overall health is
phv00107886.v1.p1	PX111201010000	In general, would you say your overall health is
phv00102631.v1.p1	PX111201010000	In general, would you say your overall health is
phv00006097.v1.p9	PX111201010000	In general, would you say your overall health is
phv00103732.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103419.v1.p1	PX111201010000	In general, would you say your overall health is
phv00223752.v1.p1	PX111201010000	In general, would you say your overall health is
phv00103314.v1.p1	PX111201010000	In general, would you say your overall health is
